,0,1,2
0,url,https://www.cae.com/special-pages/oneworld-tradeshow-1,
1,"('Close X', ['html', 'body', 'div', 'div'], ['french-popup', 'popup-block;french'])",0,
2,"('Bientôt disponible en français.', ['html', 'body', 'div', 'div', 'div'], ['french-popup', 'popup-block;french', 'text-block-5'])",0,
3,"('Thank you for your submission. A CAE representative will be in contact with you shortly. Close X', ['html', 'body', 'div'], ['success-block'])",0,
4,"('Close X', ['html', 'body', 'div', 'div'], ['contact-popup', 'popup-block;contact'])",0,
5,"('Contact Us', ['html', 'body', 'div', 'div', 'section', 'h2'], ['contact-popup', 'popup-block;contact', 'contact-form', 'heading'])",0,
6,"('Fields marked with an asterisk (*) are required.', ['html', 'body', 'div', 'div', 'section', 'div'], ['contact-popup', 'popup-block;contact', 'contact-form', 'small-text'])",0,
7,"('Thank you! Your submission has been received!!', ['html', 'body', 'div', 'div', 'section', 'div', 'div', 'div'], ['contact-popup', 'popup-block;contact', 'contact-form', 'w-form-done'])",0,
8,"('Oops! Something went wrong while submitting the form.', ['html', 'body', 'div', 'div', 'section', 'div', 'div', 'div'], ['contact-popup', 'popup-block;contact', 'contact-form', 'w-form-fail'])",0,
9,"('About CAE    Civil Aviation    Defence & Security    Healthcare', ['html', 'body', 'nav', 'div', 'div', 'div'], ['topnav-section', 'w-container', 'top-nav-block', 'top-nav-links'])",0,
10,"('en fr', ['html', 'body', 'nav', 'div', 'div', 'div'], ['topnav-section', 'w-container', 'top-nav-block', 'language-block'])",0,
11,"('Starting   July 8     th   at   9:00AM  (EST)', ['html', 'body', 'header', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'header-sub-heading-2'])",0,
12,"('Days', ['html', 'body', 'header', 'div', 'div', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'countdown-timer', 'day-block', 'datetime-details'])",0,
13,"('Hours', ['html', 'body', 'header', 'div', 'div', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'countdown-timer', 'day-block', 'datetime-details'])",0,
14,"('Minutes', ['html', 'body', 'header', 'div', 'div', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'countdown-timer', 'day-block', 'datetime-details'])",0,
15,"('Seconds', ['html', 'body', 'header', 'div', 'div', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'countdown-timer', 'day-block', 'datetime-details'])",0,
16,"('{phrase:REGISTER NOW}', ['html', 'body', 'header', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right'])",0,
17,"('Are you registered and require assistance logging in?    Contact Us   .', ['html', 'body', 'header', 'div', 'div', 'div', 'div', 'div'], ['jumbotron', 'w-container', 'header-meta-container', 'header-right', 'already-registered-box'])",0,
18,"('Welcome to CAE OneWorld 2020, a virtual conference and tradeshow that focuses on the latest innovations and technologies for military training and mission support.', ['html', 'body', 'div', 'div', 'div', 'div', 'div'], ['section', 'w-container', 'row;rm15', 'col-8;rm15', 'page-lead'])",100,t
19,"('As a globally recognized training and mission systems integrator, we offer a comprehensive portfolio of training and operational support solutions. \xa0With COVID-19 continuing to impact people and countries, we are now facing a new reality in training and preparedness. \xa0At CAE OneWorld 2020, we will discuss and present solutions to help address these challenges as well as demonstrate CAE’s advances in military training and mission support.', ['html', 'body', 'div', 'div', 'div', 'div', 'p'], ['section', 'w-container', 'row;rm15', 'col-8;rm15', 'paragraph'])",100,m
20,"('We look forward to you joining\xa0us on   July 8th starting at 9AM EST!', ['html', 'body', 'div', 'div', 'div', 'div', 'p'], ['section', 'w-container', 'row;rm15', 'col-8;rm15'])",100,m
21,"('View theCAE OneWorld 2020e-Info Centre', ['html', 'body', 'div', 'div', 'div', 'div'], ['section', 'w-container', 'row;rm15', 'col-8;rm15'])",0,
22,"('CAE OneWorld 2020 Overview Click here to download', ['html', 'body', 'div', 'div', 'div', 'div'], ['section', 'w-container', 'row;rm15', 'col-4;lm15'])",0,
23,"('#CAEOneWorld', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div'], ['section', 'w-container', 'row;rm15', 'col-4;lm15', 'hashtag-block', 'hashtag'])",0,
24,"('AGENDA', ['html', 'body', 'div', 'div', 'div'], ['section;grey', 'w-container', 'section-header'])",0,
25,"('Product Demonstrations', ['html', 'body', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-title'])",0,
26,"('Starting at 09:00AM', ['html', 'body', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-time-block', 'agenda-time'])",0,
27,"('CAE Trax Academy – Pilot training continuum', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
28,"('CAE Medallion MR e-Series Visual System', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
29,"('Naval training solutions', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
30,"('Remotely Piloted Aircraft (RPA) training solutions', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
31,"('Mission support solutions', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
32,"('CAE Aeromedical evacuation training system', ['html', 'body', 'div', 'div', 'div', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-details-block', 'agenda-details-container', 'agenda-details'])",0,
33,"('A Discussion with CAE D&S Executive Leadership', ['html', 'body', 'div', 'div', 'div', 'div'], ['section;grey', 'w-container', 'agenda-block', 'agenda-title'])",0,
