id,block,score,type
0,url,https://www.kratosdefense.com/constellations/articles/university-spotlight-a-systems-engineering-approach-for-successful-emerging-space-actors,
1,"('About', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown'])",0,
2,"('About    About Kratos    Divisions    Locations & Contacts    Upcoming Events About Kratos    Leadership    Contract Vehicles    Small Business    Ethics & Compliance    Corporate Governance Contract Vehicles    SeaPort-NxG    TETRAS    ATS-2    Training System Contract IV (TSC IV)    USV FoS IDIQ-MAC Divisions    Unmanned Systems    Space, Training and Cybersecurity    Defense & Rocket Support Services    Microwave Electronics    Turbine Technologies    C5ISR Systems Unmanned Systems    System Integration    Training    Test & Manufacturing Space, Training and Cybersecurity    Space    Training    Cyber Training    Simulation Systems    Training Services    Simulation Training Platform Training Services    Curriculum Development    Aircrew Training Centers    Sustainment Services Cyber    C3PAO Services    FedRAMP Assessment & Advisory Services    DoD CC SRG Services    NIST/RMF    PCI DSS Advisory & Assessment Services    Cloud Security Strategy    Continuous Monitoring    Dynamic Advisory Services    Penetration Testing    Vulnerability Assessments    Application Testing    Enterprise Security Architecture    FISMA    FISMA Readiness Defense & Rocket Support Services    Extreme Environment Materials and Structures    Advanced Concept Demonstration and Test    Aerosciences Test and Evaluation (T&E) Support and Analysis    Engineering, Design, & Analysis    Enterprise Services & Data Center Support    Acquisition & Program Management    Sub-Orbital Vehicles And Targets    Research Sounding Rockets Extreme Environment Materials and Structures    Non-Destructive Evaluation of Materials    Chemistry & Physics of Materials    Hypersonic Structures    Space Structures Characterization    Material Mechanical Property Testing & Analysis    Thermal Testing of Materials    Characterization of Additive Manufactured Metals Microwave Electronics    Kratos Microwave U.S.    Kratos Microwave Israel Turbine Technologies    Engineering Services', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-full', 'col;submenu'])",0,
3,"('About Kratos', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col'])",0,
4,"('Leadership    Contract Vehicles', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col', 'expandmenu'])",0,
5,"('SeaPort-NxG    TETRAS    ATS-2    Training System Contract IV (TSC IV)    USV FoS IDIQ-MAC', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col', 'expandmenu', 'expandmenu'])",0,
6,"('Small Business    Ethics & Compliance    Corporate Governance', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col', 'expandmenu'])",0,
7,"('Divisions', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col'])",0,
8,"('Unmanned Systems', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col', 'expandmenu'])",0,
9,"('System Integration    Training    Test & Manufacturing', ['html', 'body', 'form', 'nav', 'div', 'div', 'ul', 'li', 'div', 'div', 'div', 'div', 'div', 'div'], ['no-js', 'front', 'navbar;navbar-main;sticky-top;navbar-expand-md;navbar-light;bg-white', 'container-fluid', 'navbar-collapse;collapse', 'navbar-nav;ml-auto', 'nav-item;dropdown', 'dropdown-menu', 'container-fluid', 'row;menu-mobile', 'col', 'expandmenu', 'expandmenu'])",0,
